iso3,pcode,gis_name,name_alt,adm1_pcode,adm2_pcode,loc_type,loc_subtype,pop_type,hierarchy_pcode,footnote,source,lon,lat
BGD,BGDs003155,Dhaka,null,20BGD030,20BGD030026,POC,Arrangement (hosted or rental),Refugee,20BGD030026074,20BGD030026,UNHCR ,90.407,23.71
BGD,BGDs032263,Camp 10, ,20BGD020,20BGD020022,POC,Planned Settlement,Refugee,20BGD020022014,20BGD020022,UNHCR ,92.1543,21.1897
BGD,BGDs032269,Camp 15,Jamtoli-Baggona,20BGD020,20BGD020022,POC,Planned Settlement,Refugee,20BGD020022011,20BGD020022,UNHCR ,92.1429,21.1606
BGD,BGDs032258,Camp 4 Extension,,20BGD020,20BGD020022,POC,Planned Settlement,Refugee,20BGD020022039,20BGD020022,UNHCR ,92.1367,21.2063
BGD,BGDs032253,Camp 6, ,20BGD020,20BGD020022,POC,Planned Settlement,Refugee,20BGD020022021,20BGD020022,UNHCR ,92.1569,21.204
BGD,BGDs032268,Camp 14,Hakimpara,20BGD020,20BGD020022,POC,Planned Settlement,Refugee,20BGD020022022,20BGD020022,UNHCR ,92.1441,21.167
BGD,BGDs032250,Camp 2W, ,20BGD020,20BGD020022,POC,Planned Settlement,Refugee,20BGD020022023,20BGD020022,UNHCR ,92.1583,21.2089
BGD,BGDs000042,Cox's Bazar,null,20BGD020,20BGD020022,POC,Arrangement (hosted or rental),Refugee,20BGD020022046,20BGD020022,UNHCR ,91.9848,21.4366
BGD,BGDs032261,Camp 20, ,20BGD020,20BGD020022,POC,Planned Settlement,Refugee,20BGD020022037,20BGD020022,UNHCR ,92.1403,21.1909
BGD,BGDs032249,Camp 3,Modur Chora,20BGD020,20BGD020022,POC,Planned Settlement,Refugee,20BGD020022017,20BGD020022,UNHCR ,92.1492,21.2092
BGD,BGDs032251,Camp 2E, ,20BGD020,20BGD020022,POC,Planned Settlement,Refugee,20BGD020022009,20BGD020022,UNHCR ,92.1643,21.2078
BGD,BGDs032246,Camp 22,Unchiprang,20BGD020,20BGD020022,POC,Planned Settlement,Refugee,20BGD020022030,20BGD020022,UNHCR ,92.1969,21.0884
BGD,BGDs032257,Camp 4,,20BGD020,20BGD020022,POC,Planned Settlement,Refugee,20BGD020022040,20BGD020022,UNHCR ,92.1429,21.2082
BGD,BGDs000044,Camp 21,Chakmarkul / Tyingkhali,20BGD020,20BGD020022,POC,Planned Settlement,Refugee,20BGD020022035,20BGD020022,UNHCR ,92.1586,21.1322
BGD,BGDs032270,Camp 16,Moynarghona  Bagghona-Putibonia,20BGD020,20BGD020022,POC,Planned Settlement,Refugee,20BGD020022008,20BGD020022,UNHCR ,92.1491,21.1565
BGD,BGDs000035,Kutupalong RC,Kutupalong,20BGD020,20BGD020022,POC,Planned Settlement,Refugee,20BGD020022012,20BGD020022,UNHCR ,92.1638,21.2121
BGD,BGDs032255,Camp 8W, ,20BGD020,20BGD020022,POC,Planned Settlement,Refugee,20BGD020022016,20BGD020022,UNHCR ,92.1541,21.1968
BGD,BGDs032259,Camp 17, ,20BGD020,20BGD020022,POC,Planned Settlement,Refugee,20BGD020022028,20BGD020022,UNHCR ,92.1429,21.1975
BGD,BGDs000036,Camp 26,Nayapara,20BGD020,20BGD020022,POC,Planned Settlement,Refugee,20BGD020022034,20BGD020022,UNHCR ,92.2517,20.9562
BGD,BGDs032254,Camp 5, ,20BGD020,20BGD020022,POC,Planned Settlement,Refugee,20BGD020022018,20BGD020022,UNHCR ,92.1508,21.2022
