OBJECTID *,Agency_uid,Camp_Name,Camp_SSID,Block_Name,GPS_Latitude,GPS_Longitude,Sector,Facility_Type,Old_FT,Implementing_Partner
34,ED_1000,Camp 17,CXB-212,C17-A,21.202091,92.145271,Education,Learning Centre,Learning Center,<Null>
35,ED_1001,Camp 17,CXB-212,C17-C,21.194808,92.141,Education,Learning Centre,Learning Center,<Null>
36,ED_1002,Camp 17,CXB-212,C17-C,21.194818,92.140896,Education,Learning Centre,Learning Center,<Null>
37,ED_1003,Camp 17,CXB-212,C17-A,21.202226,92.144118,Education,Learning Centre,Learning Center,<Null>
38,ED_1004,Camp 17,CXB-212,C17-B,21.196556,92.142444,Education,Learning Centre,Learning Center,<Null>
39,ED_1005,Camp 17,CXB-212,C17-C,21.196188,92.141315,Education,Learning Centre,Learning Center,<Null>
40,ED_1006,Camp 17,CXB-212,C17-C,21.196172,92.141405,Education,Learning Centre,Learning Center,<Null>
41,ED_1007,Camp 17,CXB-212,C17-B,21.197302,92.142104,Education,Learning Centre,Learning Center,<Null>
42,ED_1008,Camp 17,CXB-212,C17-B,21.198013,92.146339,Education,Learning Centre,Learning Center,<Null>
43,ED_1009,Camp 17,CXB-212,C17-C,21.195767,92.138981,Education,Learning Centre,Learning Center,<Null>
44,ED_1010,Camp 17,CXB-212,C17-C,21.195822,92.13902,Education,Learning Centre,Learning Center,<Null>
45,ED_1011,Camp 17,CXB-212,C17-B,21.198578,92.145357,Education,Learning Centre,Learning Center,<Null>
46,ED_1012,Camp 17,CXB-212,C17-B,21.198096,92.145192,Education,Learning Centre,Learning Center,<Null>
47,ED_1013,Camp 17,CXB-212,C17-A,21.199843,92.141546,Education,Learning Centre,Learning Center,<Null>
48,ED_1014,Camp 17,CXB-212,C17-A,21.199761,92.141521,Education,Learning Centre,Learning Center,<Null>
49,ED_1015,Camp 17,CXB-212,C17-A,21.198695,92.139014,Education,Learning Centre,Learning Center,<Null>
50,ED_1016,Camp 17,CXB-212,C17-A,21.201316,92.141139,Education,Learning Centre,Learning Center,<Null>
51,ED_1017,Camp 17,CXB-212,C17-A,21.201381,92.141114,Education,Learning Centre,Learning Center,<Null>
52,ED_1018,Camp 17,CXB-212,C17-A,21.200516,92.143793,Education,Learning Centre,Learning Center,<Null>
